dataset,designation,prob,label,Dur_hr,Depth_ppm,P_days,Rp_Re,Teff_K,Rstar_Rsun
KOI,K06276.01,0.9514563106796117,1.0,1.89,248.0,3.09872834,0.64,3628.0,0.41
KOI,K01404.01,0.9514563106796117,1.0,3.2208,781.3,13.32389352,1.26,3751.0,0.45
KOI,K01403.01,0.9514563106796117,1.0,3.0331,995.3,18.75470238,1.67,3976.0,0.54
KOI,K01879.01,0.9514563106796117,1.0,2.1727,3157.4,22.08551599,3.34,3828.0,0.565
KOI,K00251.02,0.9514563106796117,1.0,1.768,245.3,5.77440326,0.8,3808.0,0.508
KOI,K03444.01,0.9514563106796117,1.0,2.498,215.8,12.67143692,0.76,3705.0,0.529
KOI,K01298.01,0.9514563106796117,1.0,2.013,1462.5,11.00817635,2.15,4141.0,0.582
KOI,K00663.02,0.9514563106796117,1.0,2.8014,715.4,20.30652862,1.58,4121.0,0.553
KOI,K08037.01,0.9514563106796117,1.0,1.527,253.2,3.65034525,0.72,3704.0,0.45
KOI,K02715.03,0.9514563106796117,1.0,2.744,1316.0,5.72084599,1.78,3640.0,0.503
KOI,K07617.01,0.9514563106796117,1.0,2.49,297.9,12.9284553,0.64,3578.0,0.375
KOI,K02006.01,0.9514563106796117,1.0,1.7292,262.5,3.27344784,0.81,3758.0,0.496
KOI,K01867.01,0.9514563106796117,1.0,1.6999,495.1,2.549562652,1.11,3716.0,0.506
KOI,K00250.02,0.9514563106796117,1.0,2.0371,2054.8,17.25121397,2.64,3879.0,0.537
KOI,K01085.01,0.9514563106796117,1.0,1.84,306.8,7.71790675,0.9,3975.0,0.509
KOI,K00781.01,0.9514563106796117,1.0,2.5237,2804.5,11.59822233,2.65,3688.0,0.473
KOI,K05831.01,0.9514563106796117,1.0,2.7355,954.0,10.552241908,1.75,4031.0,0.585
KOI,K02926.02,0.9514563106796117,1.0,2.2942,1223.3,5.53609368,2.2,3891.0,0.564
KOI,K01588.01,0.9514563106796117,1.0,1.5639,532.8,3.517494725,1.42,4132.0,0.564
KOI,K02926.01,0.9514563106796117,1.0,2.996,1617.1,12.2854718,2.21,3891.0,0.564
KOI,K05359.01,0.9514563106796117,1.0,1.874,869.0,2.7200197,1.53,3939.0,0.527
KOI,K00812.02,0.9514563106796117,1.0,3.3203,1494.7,20.06036336,1.96,3950.0,0.493
KOI,K08261.01,0.9514563106796117,0.0,1.919,1064.0,85.9770426,1.46,3710.0,0.452
KOI,K00775.01,0.9514563106796117,1.0,3.0249,1127.1,16.38489988,2.0,4126.0,0.615
KOI,K00784.01,0.9514563106796117,1.0,2.7594,1219.8,19.27153892,1.93,4077.0,0.56
KOI,K00775.02,0.9514563106796117,1.0,2.0805,1306.1,7.8774163,2.16,4126.0,0.615
KOI,K00812.04,0.9514563106796117,1.0,2.186,520.8,7.82502168,1.2,3950.0,0.493
KOI,K04957.02,0.9514563106796117,1.0,1.618,346.2,4.98792404,0.73,3606.0,0.395
KOI,K02835.01,0.9514563106796117,1.0,1.3251,691.2,6.30922043,1.37,4380.0,0.53
KOI,K01596.01,0.9285714285714286,1.0,2.6302,406.5,5.92365747,0.99,3883.0,0.496
KOI,K01584.01,0.9285714285714286,1.0,2.5736,505.6,5.87063416,1.44,4166.0,0.612
KOI,K07952.01,0.9285714285714286,0.0,1.5337,158.0,3.850304552,0.28,3274.0,0.224
KOI,K00255.02,0.9285714285714286,1.0,2.592,180.5,13.6032081,0.75,3780.0,0.511
KOI,K01475.03,0.9285714285714286,1.0,2.234,434.3,4.72941177,1.22,4224.0,0.603
KOI,K03444.02,0.9285714285714286,1.0,1.6864,3146.7,60.32668824,4.98,3705.0,0.529
KOI,K00736.02,0.9285714285714286,1.0,2.813,601.3,6.73893544,1.44,4126.0,0.602
KOI,K03377.01,0.9285714285714286,1.0,1.35,375.8,10.0100312,0.99,4338.0,0.508
KOI,K07182.01,0.9285714285714286,1.0,2.561,653.8,6.853888,1.74,4199.0,0.684
KOI,K04808.01,0.9285714285714286,1.0,1.413,254.4,2.40174996,0.65,3606.0,0.399
KOI,K07630.01,0.9285714285714286,1.0,2.558,199.0,16.2982201,0.78,3905.0,0.521
KOI,K03119.01,0.9285714285714286,1.0,1.0422,1546.8,2.184437698,0.94,3421.0,0.25
KOI,K02174.01,0.9285714285714286,1.0,2.311,781.8,6.69332825,2.44,4245.0,0.637
KOI,K02992.01,0.9285714285714286,1.0,3.48,1270.7,82.6595174,2.03,3952.0,0.553
KOI,K00503.01,0.9285714285714286,1.0,2.71,1468.6,8.22241355,2.28,4213.0,0.615
KOI,K00877.02,0.9285714285714286,1.0,2.7363,1250.6,12.03987488,2.18,4261.0,0.633
KOI,K00877.01,0.9285714285714286,1.0,2.3892,1410.7,5.95489993,2.33,4261.0,0.633
KOI,K02114.01,0.9285714285714286,1.0,2.1229,684.0,4.421566535,2.19,4299.0,0.697
KOI,K02015.01,0.9285714285714286,0.0,4.051,688.6,5.73865933,1.84,3841.0,0.509
KOI,K00854.01,0.9285714285714286,1.0,4.685,1626.0,56.0560754,1.94,3593.0,0.491
KOI,K00958.01,0.9285714285714286,1.0,1.243,1300.7,21.76129812,2.53,4859.0,0.72
KOI,K01895.01,0.9285714285714286,1.0,2.2906,1320.3,8.45746636,1.87,4347.0,0.524
KOI,K01577.01,0.9285714285714286,1.0,1.6271,599.6,2.806243488,1.41,4153.0,0.581
KOI,K00430.01,0.9285714285714286,1.0,2.7075,1709.0,12.37646897,2.53,4200.0,0.607
KOI,K01895.03,0.9285714285714286,1.0,2.691,1262.0,32.1340014,1.84,4347.0,0.524
