dataset,designation,prob,label,Dur_hr,Depth_ppm,P_days,Rp_Re,Teff_K,Rstar_Rsun
TOI,771.01,0.9625292740046838,1.0,0.9960868,3279.7891318,2.3260077,1.3960869,3231.0,0.241857
TOI,2263.01,0.9625292740046838,1.0,14.9235889,357.7289632,,1.6330887,5599.0,0.852643
TOI,705.01,0.9625292740046838,1.0,5.8659335,1251.7456152,47.0196372,3.1012834,5249.18,0.877877
TOI,233.02,0.9625292740046838,1.0,2.1444681,1662.8398306,7.2011383,1.7056002,3644.0,0.380272
TOI,762.01,0.9625292740046838,1.0,1.3816978,30624.6434599,3.4716808,8.027234,3399.0,0.426785
TOI,5641.01,0.9625292740046838,1.0,1.343,23790.0,2.1808015,7.66626,3379.0,0.48
TOI,7506.01,0.9625292740046838,1.0,2.4192187,23835.5812123,3.3335134,11.6746698,4056.0,0.764913
TOI,698.01,0.9625292740046838,1.0,2.1250291,1911.9221796,15.0867738,2.0905859,3570.0,0.471842
TOI,2210.01,0.9625292740046838,1.0,4.8533784,19658.0816662,12.7846809,11.7994875,5077.7,0.836244
TOI,6970.01,0.9625292740046838,1.0,3.5131822,12763.9935022,11.714447,11.53374,5165.0,0.885629
TOI,2267.01,0.9625292740046838,1.0,1.0311342,2004.426903,3.4950422,1.2734423,3022.0,0.242745
TOI,5655.01,0.9625292740046838,1.0,3.98,950.0,29.120986,2.28524,4248.0,0.71
TOI,5941.01,0.9625292740046838,1.0,4.091,1920.0,11.0771916,2.97165,4738.0,0.69
TOI,782.01,0.9625292740046838,1.0,1.7082731,4010.0577601,8.0239811,2.5926653,3331.0,0.406516
TOI,6984.01,0.9625292740046838,1.0,5.1289452,3407.8486864,,3.5506895,3683.0,0.515263
TOI,2267.02,0.9625292740046838,1.0,0.958248,1142.0994266,2.0344366,0.901106,3022.0,0.242745
TOI,6988.01,0.9625292740046838,1.0,4.578,6670.0,13.414031,8.766,5614.0,1.16
TOI,1448.01,0.9625292740046838,1.0,3.127852,4723.0724376,8.0970819,2.6354043,3391.0,0.381586
TOI,2267.03,0.9625292740046838,1.0,0.8344032,1384.622855,2.2891027,0.9131404,3022.0,0.242745
TOI,6492.01,0.9625292740046838,1.0,2.747,46413.0,731.8319734,12.4424,3556.0,0.54
TOI,7481.01,0.9625292740046838,1.0,5.4046197,1735.0237682,12.3832847,2.5884906,3894.0,0.615646
TOI,7482.01,0.9625292740046838,1.0,2.4735452,10167.398667,5.8767209,8.0213924,4111.0,0.807445
TOI,7469.01,0.9625292740046838,1.0,2.1273101,13809.758268,3.5868547,11.4376308,5036.0,0.980071
TOI,699.03,0.9625292740046838,1.0,7.4883769,423.1260918,672.6366236,2.9749826,6138.6,1.41864
TOI,6231.01,0.9625292740046838,1.0,4.793,10898.0,24.8366994,8.57154,6334.0,0.89
TOI,6935.01,0.9625292740046838,1.0,1.849,21098.0,1.763034,9.55649,3958.0,0.67
TOI,2345.02,0.9625292740046838,1.0,4.6130523,961.655867,42.1289893,2.3404732,4621.0,0.758575
TOI,5968.01,0.9625292740046838,1.0,4.495,520.0,753.822332,1.90769,5940.0,1.06
TOI,6924.01,0.9625292740046838,1.0,4.343,7033.0,91.9283414,9.22033,6118.4,1.13
